lexeme     lineno tokenName       value      parentNode  leaf nodeSymbol
-------------------------------------------------------------------
<---       20    TK_ASSIGNOP                assignmentStmt yes ----
d3         20    TK_ID                      singleOrRecId yes ----
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                var          no  singleOrRecId
----       0     NONTERMINAL                factor       no  var
----       0     NONTERMINAL                term         no  factor
----       0     NONTERMINAL                term         no  termPrime
----       0     NONTERMINAL                arithmeticExpression no  term
+          20    TK_PLUS                    lowPrecedenceOperators yes ----
----       0     NONTERMINAL                expPrime     no  lowPrecedenceOperators
c3bd       20    TK_ID                      singleOrRecId yes ----
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                var          no  singleOrRecId
----       0     NONTERMINAL                factor       no  var
----       0     NONTERMINAL                term         no  factor
----       0     NONTERMINAL                term         no  termPrime
----       0     NONTERMINAL                expPrime     no  term
----       0     NONTERMINAL                expPrime     no  expPrime
----       0     NONTERMINAL                arithmeticExpression no  expPrime
----       0     NONTERMINAL                assignmentStmt no  arithmeticExpression
;          20    TK_SEM                     assignmentStmt yes ----
----       0     NONTERMINAL                stmt         no  assignmentStmt
----       0     NONTERMINAL                otherStmts   no  stmt
b5b567     21    TK_ID                      singleOrRecId yes ----
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                assignmentStmt no  singleOrRecId
<---       21    TK_ASSIGNOP                assignmentStmt yes ----
b5b567     21    TK_ID                      singleOrRecId yes ----
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                var          no  singleOrRecId
----       0     NONTERMINAL                factor       no  var
----       0     NONTERMINAL                term         no  factor
----       0     NONTERMINAL                term         no  termPrime
----       0     NONTERMINAL                arithmeticExpression no  term
+          21    TK_PLUS                    lowPrecedenceOperators yes ----
----       0     NONTERMINAL                expPrime     no  lowPrecedenceOperators
1          21    TK_NUM          1          var          yes ----
----       0     NONTERMINAL                factor       no  var
----       0     NONTERMINAL                term         no  factor
----       0     NONTERMINAL                term         no  termPrime
----       0     NONTERMINAL                expPrime     no  term
----       0     NONTERMINAL                expPrime     no  expPrime
----       0     NONTERMINAL                arithmeticExpression no  expPrime
----       0     NONTERMINAL                assignmentStmt no  arithmeticExpression
;          21    TK_SEM                     assignmentStmt yes ----
----       0     NONTERMINAL                stmt         no  assignmentStmt
----       0     NONTERMINAL                otherStmts   no  stmt
----       0     NONTERMINAL                otherStmts   no  otherStmts
----       0     NONTERMINAL                otherStmts   no  otherStmts
----       0     NONTERMINAL                iterativeStmt no  otherStmts
endwhile   22    TK_ENDWHILE                iterativeStmt yes ----
----       0     NONTERMINAL                stmt         no  iterativeStmt
----       0     NONTERMINAL                otherStmts   no  stmt
----       0     NONTERMINAL                otherStmts   no  otherStmts
----       0     NONTERMINAL                otherStmts   no  otherStmts
----       0     NONTERMINAL                otherStmts   no  otherStmts
----       0     NONTERMINAL                stmts        no  otherStmts
return     23    TK_RETURN                  returnStmt   yes ----
[          23    TK_SQL                     optionalReturn yes ----
d3         23    TK_ID                      idList       yes ----
----       0     NONTERMINAL                idList       no  more_ids
----       0     NONTERMINAL                optionalReturn no  idList
]          23    TK_SQR                     optionalReturn yes ----
----       0     NONTERMINAL                returnStmt   no  optionalReturn
;          23    TK_SEM                     returnStmt   yes ----
----       0     NONTERMINAL                stmts        no  returnStmt
----       0     NONTERMINAL                function     no  stmts
end        24    TK_END                     function     yes ----
----       0     NONTERMINAL                otherFunctions no  function
----       0     NONTERMINAL                otherFunctions no  otherFunctions
----       0     NONTERMINAL                program      no  otherFunctions
_main      27    TK_MAIN                    mainFunction yes ----
record     28    TK_RECORD                  typeDefinition yes ----
#one       28    TK_RUID                    typeDefinition yes ----
type       29    TK_TYPE                    fieldDefinition yes ----
real       29    TK_REAL                    primitiveDatatype yes ----
----       0     NONTERMINAL                fieldType    no  primitiveDatatype
----       0     NONTERMINAL                fieldDefinition no  fieldType
:          29    TK_COLON                   fieldDefinition yes ----
x          29    TK_FIELDID                 fieldDefinition yes ----
;          29    TK_SEM                     fieldDefinition yes ----
----       0     NONTERMINAL                fieldDefinitions no  fieldDefinition
type       30    TK_TYPE                    fieldDefinition yes ----
real       30    TK_REAL                    primitiveDatatype yes ----
----       0     NONTERMINAL                fieldType    no  primitiveDatatype
----       0     NONTERMINAL                fieldDefinition no  fieldType
:          30    TK_COLON                   fieldDefinition yes ----
y          30    TK_FIELDID                 fieldDefinition yes ----
;          30    TK_SEM                     fieldDefinition yes ----
----       0     NONTERMINAL                fieldDefinitions no  fieldDefinition
----       0     NONTERMINAL                fieldDefinitions no  moreFields
----       0     NONTERMINAL                typeDefinition no  fieldDefinitions
endrecord  31    TK_ENDRECORD               typeDefinition yes ----
----       0     NONTERMINAL                actualOrRedefined no  typeDefinition
----       0     NONTERMINAL                typeDefinitions no  actualOrRedefined
definetype 32    TK_DEFINETYPE              definetypestmt yes ----
record     32    TK_RECORD                  A            yes ----
----       0     NONTERMINAL                definetypestmt no  A
#one       32    TK_RUID                    definetypestmt yes ----
as         32    TK_AS                      definetypestmt yes ----
#point     32    TK_RUID                    definetypestmt yes ----
----       0     NONTERMINAL                actualOrRedefined no  definetypestmt
----       0     NONTERMINAL                typeDefinitions no  actualOrRedefined
definetype 33    TK_DEFINETYPE              definetypestmt yes ----
record     33    TK_RECORD                  A            yes ----
----       0     NONTERMINAL                definetypestmt no  A
#two       33    TK_RUID                    definetypestmt yes ----
as         33    TK_AS                      definetypestmt yes ----
#line      33    TK_RUID                    definetypestmt yes ----
----       0     NONTERMINAL                actualOrRedefined no  definetypestmt
----       0     NONTERMINAL                typeDefinitions no  actualOrRedefined
union      34    TK_UNION                   typeDefinition yes ----
#four      34    TK_RUID                    typeDefinition yes ----
type       35    TK_TYPE                    fieldDefinition yes ----
#line      35    TK_RUID                    constructedDatatype yes ----
----       0     NONTERMINAL                fieldType    no  constructedDatatype
----       0     NONTERMINAL                fieldDefinition no  fieldType
:          35    TK_COLON                   fieldDefinition yes ----
ln         35    TK_FIELDID                 fieldDefinition yes ----
;          35    TK_SEM                     fieldDefinition yes ----
----       0     NONTERMINAL                fieldDefinitions no  fieldDefinition
type       36    TK_TYPE                    fieldDefinition yes ----
#point     36    TK_RUID                    constructedDatatype yes ----
----       0     NONTERMINAL                fieldType    no  constructedDatatype
----       0     NONTERMINAL                fieldDefinition no  fieldType
:          36    TK_COLON                   fieldDefinition yes ----
pt         36    TK_FIELDID                 fieldDefinition yes ----
;          36    TK_SEM                     fieldDefinition yes ----
----       0     NONTERMINAL                fieldDefinitions no  fieldDefinition
type       37    TK_TYPE                    fieldDefinition yes ----
#traingle  37    TK_RUID                    constructedDatatype yes ----
----       0     NONTERMINAL                fieldType    no  constructedDatatype
----       0     NONTERMINAL                fieldDefinition no  fieldType
:          37    TK_COLON                   fieldDefinition yes ----
tr         37    TK_FIELDID                 fieldDefinition yes ----
;          37    TK_SEM                     fieldDefinition yes ----
----       0     NONTERMINAL                moreFields   no  fieldDefinition
----       0     NONTERMINAL                moreFields   no  moreFields
----       0     NONTERMINAL                fieldDefinitions no  moreFields
----       0     NONTERMINAL                typeDefinition no  fieldDefinitions
endunion   38    TK_ENDUNION                typeDefinition yes ----
----       0     NONTERMINAL                actualOrRedefined no  typeDefinition
----       0     NONTERMINAL                typeDefinitions no  actualOrRedefined
definetype 39    TK_DEFINETYPE              definetypestmt yes ----
record     39    TK_RECORD                  A            yes ----
----       0     NONTERMINAL                definetypestmt no  A
#three     39    TK_RUID                    definetypestmt yes ----
as         39    TK_AS                      definetypestmt yes ----
#triangle  39    TK_RUID                    definetypestmt yes ----
----       0     NONTERMINAL                actualOrRedefined no  definetypestmt
----       0     NONTERMINAL                typeDefinitions no  actualOrRedefined
record     40    TK_RECORD                  typeDefinition yes ----
#three     40    TK_RUID                    typeDefinition yes ----
type       41    TK_TYPE                    fieldDefinition yes ----
#line      41    TK_RUID                    constructedDatatype yes ----
----       0     NONTERMINAL                fieldType    no  constructedDatatype
----       0     NONTERMINAL                fieldDefinition no  fieldType
:          41    TK_COLON                   fieldDefinition yes ----
base       41    TK_FIELDID                 fieldDefinition yes ----
;          41    TK_SEM                     fieldDefinition yes ----
----       0     NONTERMINAL                fieldDefinitions no  fieldDefinition
type       42    TK_TYPE                    fieldDefinition yes ----
#line      42    TK_RUID                    constructedDatatype yes ----
----       0     NONTERMINAL                fieldType    no  constructedDatatype
----       0     NONTERMINAL                fieldDefinition no  fieldType
:          42    TK_COLON                   fieldDefinition yes ----
height     42    TK_FIELDID                 fieldDefinition yes ----
;          42    TK_SEM                     fieldDefinition yes ----
----       0     NONTERMINAL                fieldDefinitions no  fieldDefinition
----       0     NONTERMINAL                fieldDefinitions no  moreFields
----       0     NONTERMINAL                typeDefinition no  fieldDefinitions
endrecord  43    TK_ENDRECORD               typeDefinition yes ----
----       0     NONTERMINAL                actualOrRedefined no  typeDefinition
----       0     NONTERMINAL                typeDefinitions no  actualOrRedefined
definetype 44    TK_DEFINETYPE              definetypestmt yes ----
union      44    TK_UNION                   A            yes ----
----       0     NONTERMINAL                definetypestmt no  A
#four      44    TK_RUID                    definetypestmt yes ----
as         44    TK_AS                      definetypestmt yes ----
#shape     44    TK_RUID                    definetypestmt yes ----
----       0     NONTERMINAL                actualOrRedefined no  definetypestmt
----       0     NONTERMINAL                typeDefinitions no  actualOrRedefined
record     45    TK_RECORD                  typeDefinition yes ----
#variantrecord 45    TK_RUID                    typeDefinition yes ----
type       46    TK_TYPE                    fieldDefinition yes ----
int        46    TK_INT                     primitiveDatatype yes ----
----       0     NONTERMINAL                fieldType    no  primitiveDatatype
----       0     NONTERMINAL                fieldDefinition no  fieldType
:          46    TK_COLON                   fieldDefinition yes ----
tag        46    TK_FIELDID                 fieldDefinition yes ----
;          46    TK_SEM                     fieldDefinition yes ----
----       0     NONTERMINAL                fieldDefinitions no  fieldDefinition
type       47    TK_TYPE                    fieldDefinition yes ----
#shape     47    TK_RUID                    constructedDatatype yes ----
----       0     NONTERMINAL                fieldType    no  constructedDatatype
----       0     NONTERMINAL                fieldDefinition no  fieldType
:          47    TK_COLON                   fieldDefinition yes ----
s          47    TK_FIELDID                 fieldDefinition yes ----
;          47    TK_SEM                     fieldDefinition yes ----
----       0     NONTERMINAL                fieldDefinitions no  fieldDefinition
----       0     NONTERMINAL                fieldDefinitions no  moreFields
----       0     NONTERMINAL                typeDefinition no  fieldDefinitions
endrecord  48    TK_ENDRECORD               typeDefinition yes ----
----       0     NONTERMINAL                actualOrRedefined no  typeDefinition
----       0     NONTERMINAL                typeDefinitions no  actualOrRedefined
----       0     NONTERMINAL                typeDefinitions no  typeDefinitions
----       0     NONTERMINAL                typeDefinitions no  typeDefinitions
----       0     NONTERMINAL                typeDefinitions no  typeDefinitions
----       0     NONTERMINAL                typeDefinitions no  typeDefinitions
----       0     NONTERMINAL                typeDefinitions no  typeDefinitions
----       0     NONTERMINAL                typeDefinitions no  typeDefinitions
----       0     NONTERMINAL                typeDefinitions no  typeDefinitions
----       0     NONTERMINAL                typeDefinitions no  typeDefinitions
----       0     NONTERMINAL                stmts        no  typeDefinitions
type       50    TK_TYPE                    declaration  yes ----
record     50    TK_RECORD                  constructedDatatype yes ----
#variantrecord 50    TK_RUID                    constructedDatatype yes ----
----       0     NONTERMINAL                dataType     no  constructedDatatype
----       0     NONTERMINAL                declaration  no  dataType
:          50    TK_COLON                   declaration  yes ----
d4         50    TK_ID                      declaration  yes ----
----       0     NONTERMINAL                declaration  no  global_or_not
;          50    TK_SEM                     declaration  yes ----
----       0     NONTERMINAL                declarations no  declaration
type       51    TK_TYPE                    declaration  yes ----
int        51    TK_INT                     primitiveDatatype yes ----
----       0     NONTERMINAL                dataType     no  primitiveDatatype
----       0     NONTERMINAL                declaration  no  dataType
:          51    TK_COLON                   declaration  yes ----
b5         51    TK_ID                      declaration  yes ----
----       0     NONTERMINAL                declaration  no  global_or_not
;          51    TK_SEM                     declaration  yes ----
----       0     NONTERMINAL                declarations no  declaration
type       52    TK_TYPE                    declaration  yes ----
int        52    TK_INT                     primitiveDatatype yes ----
----       0     NONTERMINAL                dataType     no  primitiveDatatype
----       0     NONTERMINAL                declaration  no  dataType
:          52    TK_COLON                   declaration  yes ----
d5cb34567  52    TK_ID                      declaration  yes ----
----       0     NONTERMINAL                declaration  no  global_or_not
;          52    TK_SEM                     declaration  yes ----
----       0     NONTERMINAL                declarations no  declaration
type       53    TK_TYPE                    declaration  yes ----
record     53    TK_RECORD                  constructedDatatype yes ----
#variantrecord 53    TK_RUID                    constructedDatatype yes ----
----       0     NONTERMINAL                dataType     no  constructedDatatype
----       0     NONTERMINAL                declaration  no  dataType
:          53    TK_COLON                   declaration  yes ----
b5c6       53    TK_ID                      declaration  yes ----
----       0     NONTERMINAL                declaration  no  global_or_not
;          53    TK_SEM                     declaration  yes ----
----       0     NONTERMINAL                declarations no  declaration
----       0     NONTERMINAL                declarations no  declarations
----       0     NONTERMINAL                declarations no  declarations
----       0     NONTERMINAL                declarations no  declarations
----       0     NONTERMINAL                declarations no  declarations
----       0     NONTERMINAL                stmts        no  declarations
b5c6       54    TK_ID                      singleOrRecId yes ----
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                assignmentStmt no  singleOrRecId
<---       54    TK_ASSIGNOP                assignmentStmt yes ----
b5c6       54    TK_ID                      singleOrRecId yes ----
.          54    TK_DOT                     oneExpansion yes ----
