Lexeme                CurrentNode                     LineNo  TokenName               ValueIfNum    ParentNodeSymbol                IsLeaf  NodeSymbol
----                  option_single_constructed       41      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  var                             0       ----                    ---           booleanExpression               no      var
----                  booleanExpression               0       ----                    ---           iterativeStmt                   no      booleanExpression
<=                    ----                            41      TK_LE                   ---           relationalOp                    yes     ----
----                  relationalOp                    41      ----                    ---           booleanExpression               no      relationalOp
d5cb34567             ----                            41      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   41      ----                    ---           var                             no      singleOrRecId
eps                   ----                            41      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       41      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  var                             0       ----                    ---           booleanExpression               no      var
)                     ----                            41      TK_CL                   ---           iterativeStmt                   yes     ----
[                     ----                            42      TK_SQL                  ---           outputParameters                yes     ----
----                  outputParameters                42      ----                    ---           funCallStmt                     no      outputParameters
d4                    ----                            42      TK_ID                   ---           idList                          yes     ----
----                  idList                          42      ----                    ---           outputParameters                no      idList
eps                   ----                            42      TK_EOF                  ---           more_ids                        yes     ----
----                  more_ids                        42      ----                    ---           idList                          no      more_ids
]                     ----                            42      TK_SQR                  ---           outputParameters                yes     ----
<---                  ----                            42      TK_ASSIGNOP             ---           outputParameters                yes     ----
----                  funCallStmt                     0       ----                    ---           stmt                            no      funCallStmt
call                  ----                            42      TK_CALL                 ---           funCallStmt                     yes     ----
_readMarks            ----                            42      TK_FUNID                ---           funCallStmt                     yes     ----
with                  ----                            42      TK_WITH                 ---           funCallStmt                     yes     ----
parameters            ----                            42      TK_PARAMETERS           ---           funCallStmt                     yes     ----
[                     ----                            42      TK_SQL                  ---           inputParameters                 yes     ----
----                  inputParameters                 42      ----                    ---           funCallStmt                     no      inputParameters
b5                    ----                            42      TK_ID                   ---           idList                          yes     ----
----                  idList                          42      ----                    ---           inputParameters                 no      idList
eps                   ----                            42      TK_EOF                  ---           more_ids                        yes     ----
----                  more_ids                        42      ----                    ---           idList                          no      more_ids
]                     ----                            42      TK_SQR                  ---           inputParameters                 yes     ----
;                     ----                            42      TK_SEM                  ---           funCallStmt                     yes     ----
----                  stmt                            0       ----                    ---           iterativeStmt                   no      stmt
b5c6                  ----                            43      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   43      ----                    ---           assignmentStmt                  no      singleOrRecId
eps                   ----                            43      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       43      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  assignmentStmt                  0       ----                    ---           stmt                            no      assignmentStmt
<---                  ----                            43      TK_ASSIGNOP             ---           assignmentStmt                  yes     ----
b5c6                  ----                            43      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   43      ----                    ---           var                             no      singleOrRecId
eps                   ----                            43      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       43      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  var                             0       ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           arithmeticExpression            no      term
eps                   ----                            43      TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       43      ----                    ---           term                            no      termPrime
----                  arithmeticExpression            0       ----                    ---           assignmentStmt                  no      arithmeticExpression
+                     ----                            43      TK_PLUS                 ---           lowPrecedenceOperators          yes     ----
----                  lowPrecedenceOperators          43      ----                    ---           expPrime                        no      lowPrecedenceOperators
----                  expPrime                        0       ----                    ---           arithmeticExpression            no      expPrime
d4                    ----                            43      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   43      ----                    ---           var                             no      singleOrRecId
eps                   ----                            43      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       43      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  var                             0       ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           expPrime                        no      term
eps                   ----                            43      TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       43      ----                    ---           term                            no      termPrime
eps                   ----                            43      TK_EOF                  ---           expPrime                        yes     ----
----                  expPrime                        43      ----                    ---           expPrime                        no      expPrime
;                     ----                            43      TK_SEM                  ---           assignmentStmt                  yes     ----
----                  stmt                            0       ----                    ---           otherStmts                      no      stmt
----                  otherStmts                      0       ----                    ---           iterativeStmt                   no      otherStmts
b5                    ----                            45      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   45      ----                    ---           assignmentStmt                  no      singleOrRecId
eps                   ----                            45      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       45      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  assignmentStmt                  0       ----                    ---           stmt                            no      assignmentStmt
<---                  ----                            45      TK_ASSIGNOP             ---           assignmentStmt                  yes     ----
b5                    ----                            45      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   45      ----                    ---           var                             no      singleOrRecId
eps                   ----                            45      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       45      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  var                             0       ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           arithmeticExpression            no      term
eps                   ----                            45      TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       45      ----                    ---           term                            no      termPrime
----                  arithmeticExpression            0       ----                    ---           assignmentStmt                  no      arithmeticExpression
+                     ----                            45      TK_PLUS                 ---           lowPrecedenceOperators          yes     ----
----                  lowPrecedenceOperators          45      ----                    ---           expPrime                        no      lowPrecedenceOperators
----                  expPrime                        0       ----                    ---           arithmeticExpression            no      expPrime
1                     ----                            45      TK_NUM                  1             var                             yes     ----
----                  var                             45      ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           expPrime                        no      term
eps                   ----                            45      TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       45      ----                    ---           term                            no      termPrime
eps                   ----                            45      TK_EOF                  ---           expPrime                        yes     ----
----                  expPrime                        45      ----                    ---           expPrime                        no      expPrime
