Lexeme                CurrentNode                     LineNo  TokenName               ValueIfNum    ParentNodeSymbol                IsLeaf  NodeSymbol
----                  booleanExpression               0       ----                    ---           booleanExpression               no      booleanExpression
>                     ----                            13      TK_GT                   ---           relationalOp                    yes     ----
----                  relationalOp                    13      ----                    ---           booleanExpression               no      relationalOp
78.56                 ----                            13      TK_RNUM                 78.56         var                             yes     ----
----                  var                             13      ----                    ---           booleanExpression               no      var
)                     ----                            13      TK_CL                   ---           booleanExpression               yes     ----
)                     ----                            13      TK_CL                   ---           conditionalStmt                 yes     ----
then                  ----                            14      TK_THEN                 ---           conditionalStmt                 yes     ----
c6                    ----                            15      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   15      ----                    ---           assignmentStmt                  no      singleOrRecId
eps                   ----                            15      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       15      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  assignmentStmt                  0       ----                    ---           stmt                            no      assignmentStmt
<---                  ----                            15      TK_ASSIGNOP             ---           assignmentStmt                  yes     ----
d4cbcd5677            ----                            15      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   15      ----                    ---           var                             no      singleOrRecId
eps                   ----                            15      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       15      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  var                             0       ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           arithmeticExpression            no      term
/                     ----                            15      TK_DIV                  ---           highPrecedenceOperators         yes     ----
----                  highPrecedenceOperators         15      ----                    ---           termPrime                       no      highPrecedenceOperators
----                  termPrime                       0       ----                    ---           term                            no      termPrime
c4bbb                 ----                            15      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   15      ----                    ---           var                             no      singleOrRecId
eps                   ----                            0       TK_ASSIGNOP             ---           singleOrRecId                   yes     ----
----                  var                             0       ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           termPrime                       no      factor
eps                   ----                            0       TK_ASSIGNOP             ---           termPrime                       yes     ----
----                  arithmeticExpression            0       ----                    ---           assignmentStmt                  no      arithmeticExpression
eps                   ----                            0       TK_ASSIGNOP             ---           arithmeticExpression            yes     ----
                      ----                            15      TK_SEM                  ---           assignmentStmt                  yes     ----
----                  stmt                            0       ----                    ---           conditionalStmt                 no      stmt
eps                   ----                            0       TK_ASSIGNOP             ---           conditionalStmt                 yes     ----
eps                   ----                            0       TK_ASSIGNOP             ---           conditionalStmt                 yes     ----
----                  stmt                            0       ----                    ---           otherStmts                      no      stmt
----                  otherStmts                      0       ----                    ---           otherStmts                      no      otherStmts
eps                   ----                            18      TK_EOF                  ---           otherStmts                      yes     ----
----                  otherStmts                      18      ----                    ---           otherStmts                      no      otherStmts
eps                   ----                            0       TK_ASSIGNOP             ---           stmts                           yes     ----
end                   ----                            20      TK_END                  ---           function                        yes     ----
----                  otherFunctions                  0       ----                    ---           program                         no      otherFunctions
eps                   ----                            24      TK_EOF                  ---           otherFunctions                  yes     ----
----                  otherFunctions                  24      ----                    ---           otherFunctions                  no      otherFunctions
----                  program                         0       ----                    ---           ROOT                            no      program
_main                 ----                            24      TK_MAIN                 ---           mainFunction                    yes     ----
----                  mainFunction                    24      ----                    ---           program                         no      mainFunction
eps                   ----                            25      TK_EOF                  ---           typeDefinitions                 yes     ----
----                  typeDefinitions                 25      ----                    ---           stmts                           no      typeDefinitions
----                  stmts                           0       ----                    ---           mainFunction                    no      stmts
type                  ----                            25      TK_TYPE                 ---           declaration                     yes     ----
----                  declaration                     25      ----                    ---           declarations                    no      declaration
int                   ----                            25      TK_INT                  ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               25      ----                    ---           dataType                        no      primitiveDatatype
----                  dataType                        0       ----                    ---           declaration                     no      dataType
                      ----                            25      TK_COLON                ---           declaration                     yes     ----
b5                    ----                            25      TK_ID                   ---           declaration                     yes     ----
eps                   ----                            25      TK_EOF                  ---           global_or_not                   yes     ----
----                  global_or_not                   25      ----                    ---           declaration                     no      global_or_not
;                     ----                            25      TK_SEM                  ---           declaration                     yes     ----
----                  declarations                    0       ----                    ---           stmts                           no      declarations
type                  ----                            26      TK_TYPE                 ---           declaration                     yes     ----
----                  declaration                     26      ----                    ---           declarations                    no      declaration
int                   ----                            26      TK_INT                  ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               26      ----                    ---           dataType                        no      primitiveDatatype
----                  dataType                        0       ----                    ---           declaration                     no      dataType
:                     ----                            26      TK_COLON                ---           declaration                     yes     ----
d5cb34567             ----                            26      TK_ID                   ---           declaration                     yes     ----
eps                   ----                            26      TK_EOF                  ---           global_or_not                   yes     ----
----                  global_or_not                   26      ----                    ---           declaration                     no      global_or_not
;                     ----                            26      TK_SEM                  ---           declaration                     yes     ----
----                  declarations                    0       ----                    ---           declarations                    no      declarations
type                  ----                            27      TK_TYPE                 ---           declaration                     yes     ----
----                  declaration                     27      ----                    ---           declarations                    no      declaration
int                   ----                            27      TK_INT                  ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               27      ----                    ---           dataType                        no      primitiveDatatype
----                  dataType                        0       ----                    ---           declaration                     no      dataType
:                     ----                            27      TK_COLON                ---           declaration                     yes     ----
b3b444                ----                            27      TK_ID                   ---           declaration                     yes     ----
:                     ----                            27      TK_COLON                ---           global_or_not                   yes     ----
----                  global_or_not                   27      ----                    ---           declaration                     no      global_or_not
global                ----                            27      TK_GLOBAL               ---           global_or_not                   yes     ----
;                     ----                            27      TK_SEM                  ---           declaration                     yes     ----
----                  declarations                    0       ----                    ---           declarations                    no      declarations
type                  ----                            28      TK_TYPE                 ---           declaration                     yes     ----
----                  declaration                     28      ----                    ---           declarations                    no      declaration
real                  ----                            28      TK_REAL                 ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               28      ----                    ---           dataType                        no      primitiveDatatype
----                  dataType                        0       ----                    ---           declaration                     no      dataType
:                     ----                            28      TK_COLON                ---           declaration                     yes     ----
c3                    ----                            28      TK_ID                   ---           declaration                     yes     ----
eps                   ----                            28      TK_EOF                  ---           global_or_not                   yes     ----
----                  global_or_not                   28      ----                    ---           declaration                     no      global_or_not
;                     ----                            28      TK_SEM                  ---           declaration                     yes     ----
----                  declarations                    0       ----                    ---           declarations                    no      declarations
eps                   ----                            29      TK_EOF                  ---           declarations                    yes     ----
----                  declarations                    29      ----                    ---           declarations                    no      declarations
b5                    ----                            29      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   29      ----                    ---           assignmentStmt                  no      singleOrRecId
eps                   ----                            29      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       29      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  assignmentStmt                  0       ----                    ---           stmt                            no      assignmentStmt
                      ----                            29      TK_ASSIGNOP             ---           assignmentStmt                  yes     ----
eps                   ----                            0       TK_ASSIGNOP             ---           assignmentStmt                  yes     ----
;                     ----                            29      TK_SEM                  ---           assignmentStmt                  yes     ----
----                  stmt                            0       ----                    ---           otherStmts                      no      stmt
----                  otherStmts                      0       ----                    ---           stmts                           no      otherStmts
[                     ----                            31      TK_SQL                  ---           outputParameters                yes     ----
----                  outputParameters                31      ----                    ---           funCallStmt                     no      outputParameters
c3                    ----                            31      TK_ID                   ---           idList                          yes     ----
----                  idList                          31      ----                    ---           outputParameters                no      idList
eps                   ----                            31      TK_EOF                  ---           more_ids                        yes     ----
----                  more_ids                        31      ----                    ---           idList                          no      more_ids
]                     ----                            31      TK_SQR                  ---           outputParameters                yes     ----
<---                  ----                            31      TK_ASSIGNOP             ---           outputParameters                yes     ----
----                  funCallStmt                     0       ----                    ---           stmt                            no      funCallStmt
call                  ----                            31      TK_CALL                 ---           funCallStmt                     yes     ----
_computeFunctionValue  ----                            31      TK_FUNID                ---           funCallStmt                     yes     ----
with                  ----                            31      TK_WITH                 ---           funCallStmt                     yes     ----
parameters            ----                            31      TK_PARAMETERS           ---           funCallStmt                     yes     ----
[                     ----                            31      TK_SQL                  ---           inputParameters                 yes     ----
----                  inputParameters                 31      ----                    ---           funCallStmt                     no      inputParameters
b5                    ----                            31      TK_ID                   ---           idList                          yes     ----
----                  idList                          31      ----                    ---           inputParameters                 no      idList
,                     ----                            31      TK_COMMA                ---           more_ids                        yes     ----
----                  more_ids                        31      ----                    ---           idList                          no      more_ids
d5cb34567             ----                            31      TK_ID                   ---           idList                          yes     ----
----                  idList                          31      ----                    ---           more_ids                        no      idList
